,num_comercial_3km,num_primary_3km,num_secondary_3km,num_mall_2km,num_mrt_1.5km
109,3.0,12.0,15.0,4.0,7.0
110,1.0,13.0,9.0,10.0,4.0
111,1.0,4.0,4.0,1.0,3.0
112,5.0,12.0,7.0,29.0,12.0
113,1.0,15.0,10.0,10.0,4.0
114,0.0,11.0,8.0,3.0,1.0
115,5.0,13.0,6.0,3.0,2.0
116,1.0,4.0,4.0,1.0,3.0
117,0.0,17.0,11.0,4.0,3.0
118,3.0,18.0,18.0,3.0,4.0
119,4.0,8.0,6.0,4.0,3.0
120,0.0,6.0,4.0,0.0,0.0
121,5.0,23.0,18.0,6.0,0.0
122,4.0,10.0,8.0,2.0,1.0
123,0.0,14.0,8.0,3.0,2.0
124,0.0,12.0,9.0,5.0,1.0
125,3.0,10.0,8.0,26.0,4.0
126,0.0,11.0,8.0,3.0,1.0
127,2.0,14.0,15.0,3.0,5.0
128,2.0,9.0,9.0,5.0,1.0
129,0.0,10.0,11.0,2.0,0.0
130,3.0,16.0,15.0,4.0,5.0
131,3.0,14.0,8.0,30.0,6.0
132,3.0,7.0,4.0,16.0,13.0
133,7.0,6.0,10.0,4.0,2.0
134,5.0,14.0,9.0,3.0,2.0
135,4.0,8.0,12.0,22.0,1.0
136,0.0,15.0,12.0,10.0,1.0
137,4.0,26.0,14.0,6.0,1.0
138,0.0,9.0,7.0,7.0,1.0
139,2.0,7.0,3.0,2.0,3.0
140,0.0,11.0,8.0,3.0,1.0
141,2.0,8.0,7.0,3.0,0.0
142,1.0,13.0,12.0,5.0,9.0
143,4.0,20.0,15.0,4.0,3.0
144,3.0,17.0,8.0,17.0,8.0
145,2.0,9.0,9.0,5.0,1.0
146,0.0,12.0,6.0,3.0,1.0
147,0.0,16.0,14.0,9.0,2.0
148,5.0,13.0,9.0,4.0,2.0
149,1.0,14.0,9.0,10.0,4.0
150,2.0,11.0,9.0,6.0,4.0
151,9.0,5.0,10.0,5.0,2.0
152,2.0,9.0,8.0,18.0,3.0
153,3.0,9.0,4.0,39.0,18.0
154,6.0,18.0,13.0,5.0,0.0
155,0.0,11.0,11.0,7.0,1.0
156,4.0,18.0,16.0,3.0,6.0
157,2.0,23.0,10.0,5.0,1.0
158,4.0,12.0,10.0,29.0,6.0
159,0.0,3.0,7.0,1.0,5.0
160,2.0,9.0,9.0,5.0,1.0
161,1.0,4.0,6.0,2.0,2.0
162,4.0,19.0,17.0,5.0,0.0
163,5.0,13.0,8.0,4.0,1.0
164,8.0,27.0,16.0,6.0,1.0
165,0.0,14.0,12.0,6.0,1.0
166,9.0,6.0,11.0,3.0,5.0
167,0.0,10.0,7.0,5.0,0.0
168,0.0,0.0,0.0,0.0,0.0
169,4.0,20.0,15.0,5.0,3.0
170,3.0,9.0,8.0,24.0,4.0
171,8.0,19.0,14.0,6.0,0.0
172,2.0,17.0,11.0,4.0,3.0
173,4.0,11.0,11.0,2.0,2.0
174,1.0,13.0,12.0,8.0,9.0
175,0.0,9.0,9.0,7.0,2.0
176,4.0,16.0,8.0,4.0,0.0
177,2.0,10.0,6.0,3.0,1.0
178,3.0,19.0,15.0,3.0,5.0
179,3.0,9.0,8.0,30.0,4.0
180,9.0,6.0,9.0,6.0,2.0
181,4.0,10.0,8.0,2.0,0.0
182,7.0,5.0,10.0,4.0,2.0
183,0.0,14.0,12.0,10.0,2.0
184,2.0,21.0,23.0,5.0,3.0
185,2.0,11.0,7.0,3.0,2.0
186,0.0,10.0,9.0,0.0,0.0
187,4.0,11.0,11.0,2.0,2.0
188,9.0,7.0,10.0,3.0,5.0
189,4.0,16.0,12.0,4.0,1.0
190,6.0,19.0,11.0,4.0,0.0
191,2.0,18.0,13.0,4.0,3.0
192,4.0,26.0,15.0,5.0,1.0
193,0.0,13.0,9.0,3.0,2.0
194,3.0,10.0,7.0,32.0,6.0
195,4.0,18.0,16.0,5.0,1.0
196,3.0,14.0,10.0,18.0,6.0
197,4.0,8.0,10.0,4.0,1.0
198,2.0,13.0,10.0,5.0,2.0
199,1.0,13.0,9.0,10.0,4.0
200,2.0,18.0,19.0,7.0,4.0
201,3.0,9.0,6.0,15.0,7.0
202,0.0,13.0,8.0,3.0,3.0
203,1.0,9.0,9.0,7.0,1.0
204,1.0,13.0,9.0,10.0,5.0
205,4.0,11.0,8.0,34.0,9.0
206,3.0,11.0,7.0,26.0,4.0
207,0.0,10.0,8.0,2.0,2.0
208,4.0,15.0,12.0,3.0,3.0
209,2.0,9.0,9.0,5.0,1.0
210,0.0,0.0,0.0,0.0,0.0
211,3.0,15.0,13.0,8.0,3.0
212,8.0,24.0,15.0,6.0,2.0
213,4.0,20.0,15.0,7.0,2.0
214,1.0,9.0,9.0,7.0,1.0
215,2.0,17.0,9.0,5.0,1.0
216,1.0,4.0,6.0,2.0,2.0
217,4.0,16.0,9.0,4.0,3.0
218,1.0,9.0,11.0,5.0,2.0
219,1.0,4.0,6.0,2.0,2.0
220,0.0,13.0,9.0,4.0,2.0
221,3.0,10.0,7.0,32.0,6.0
222,5.0,13.0,8.0,4.0,0.0
223,0.0,0.0,0.0,0.0,0.0
224,4.0,11.0,8.0,34.0,9.0
225,2.0,11.0,7.0,3.0,2.0
226,0.0,2.0,6.0,1.0,2.0
227,5.0,18.0,18.0,6.0,3.0
228,0.0,0.0,0.0,0.0,0.0
229,1.0,6.0,6.0,6.0,2.0
230,0.0,7.0,4.0,4.0,1.0
231,1.0,5.0,6.0,3.0,3.0
232,2.0,11.0,9.0,7.0,2.0
233,3.0,5.0,2.0,18.0,17.0
234,4.0,23.0,21.0,4.0,3.0
235,0.0,10.0,8.0,2.0,2.0
236,2.0,9.0,6.0,23.0,4.0
237,5.0,20.0,19.0,7.0,2.0
238,4.0,8.0,5.0,43.0,17.0
239,0.0,19.0,14.0,2.0,3.0
240,1.0,6.0,6.0,6.0,2.0
241,4.0,11.0,12.0,5.0,4.0
242,1.0,5.0,6.0,3.0,3.0
243,8.0,19.0,15.0,6.0,0.0
244,3.0,11.0,6.0,0.0,3.0
245,3.0,8.0,6.0,24.0,11.0
246,1.0,11.0,14.0,3.0,3.0
247,0.0,13.0,7.0,3.0,2.0
248,0.0,14.0,9.0,4.0,2.0
249,4.0,11.0,8.0,34.0,9.0
250,3.0,9.0,6.0,15.0,7.0
251,1.0,15.0,10.0,10.0,4.0
252,4.0,10.0,4.0,46.0,17.0
253,4.0,20.0,15.0,6.0,1.0
254,6.0,17.0,10.0,5.0,0.0
255,3.0,10.0,6.0,27.0,4.0
256,3.0,9.0,6.0,15.0,7.0
257,0.0,8.0,8.0,0.0,2.0
258,5.0,18.0,16.0,6.0,5.0
259,9.0,5.0,9.0,4.0,0.0
260,4.0,16.0,12.0,4.0,1.0
261,0.0,14.0,11.0,5.0,2.0
262,0.0,10.0,8.0,2.0,2.0
263,0.0,4.0,3.0,4.0,3.0
264,0.0,15.0,11.0,3.0,2.0
265,0.0,8.0,8.0,0.0,2.0
266,2.0,18.0,12.0,4.0,3.0
267,3.0,20.0,14.0,1.0,4.0
268,0.0,6.0,10.0,2.0,2.0
269,5.0,8.0,12.0,2.0,3.0
270,2.0,20.0,14.0,1.0,4.0
271,3.0,19.0,15.0,3.0,5.0
272,4.0,6.0,3.0,35.0,19.0
273,9.0,6.0,9.0,6.0,2.0
274,1.0,17.0,9.0,1.0,5.0
275,10.0,8.0,8.0,4.0,3.0
276,2.0,13.0,11.0,2.0,2.0
277,4.0,6.0,9.0,4.0,1.0
278,4.0,21.0,10.0,6.0,0.0
279,0.0,17.0,11.0,4.0,3.0
280,3.0,17.0,8.0,17.0,8.0
281,7.0,9.0,8.0,5.0,2.0
282,0.0,12.0,6.0,3.0,2.0
283,1.0,7.0,6.0,9.0,3.0
284,4.0,16.0,11.0,4.0,0.0
285,1.0,7.0,6.0,9.0,3.0
286,3.0,18.0,12.0,10.0,5.0
287,0.0,14.0,9.0,4.0,2.0
288,0.0,9.0,8.0,4.0,2.0
289,11.0,5.0,6.0,4.0,4.0
290,1.0,6.0,6.0,6.0,2.0
291,4.0,16.0,12.0,4.0,1.0
292,3.0,9.0,7.0,34.0,11.0
293,5.0,13.0,7.0,4.0,2.0
294,0.0,13.0,14.0,5.0,1.0
295,9.0,6.0,9.0,6.0,2.0
296,5.0,8.0,7.0,44.0,15.0
297,5.0,16.0,16.0,6.0,2.0
298,1.0,5.0,7.0,2.0,2.0
299,5.0,23.0,16.0,8.0,2.0
300,6.0,19.0,10.0,5.0,0.0
301,0.0,4.0,3.0,4.0,2.0
302,4.0,14.0,12.0,7.0,4.0
303,3.0,15.0,13.0,3.0,5.0
304,0.0,0.0,0.0,0.0,0.0
305,1.0,4.0,6.0,2.0,2.0
306,4.0,15.0,12.0,3.0,3.0
307,9.0,6.0,11.0,3.0,5.0
308,3.0,7.0,5.0,16.0,12.0
309,11.0,7.0,12.0,3.0,5.0
310,2.0,18.0,16.0,5.0,4.0
311,5.0,20.0,16.0,6.0,3.0
312,3.0,9.0,9.0,2.0,2.0
313,7.0,6.0,10.0,4.0,2.0
314,5.0,13.0,11.0,4.0,1.0
315,5.0,12.0,6.0,29.0,12.0
316,3.0,13.0,6.0,34.0,7.0
317,0.0,16.0,10.0,4.0,2.0
318,0.0,10.0,9.0,0.0,0.0
319,0.0,11.0,8.0,3.0,1.0
320,3.0,9.0,4.0,39.0,18.0
321,6.0,15.0,8.0,4.0,0.0
322,5.0,20.0,16.0,6.0,3.0
323,3.0,9.0,4.0,41.0,18.0
324,4.0,11.0,8.0,34.0,9.0
325,0.0,16.0,13.0,10.0,2.0
326,4.0,23.0,11.0,7.0,1.0
327,2.0,16.0,9.0,3.0,2.0
328,5.0,23.0,16.0,6.0,2.0
329,3.0,10.0,6.0,27.0,4.0
330,6.0,11.0,8.0,2.0,0.0
331,0.0,0.0,0.0,0.0,0.0
332,0.0,17.0,13.0,2.0,2.0
333,4.0,20.0,15.0,4.0,3.0
334,3.0,5.0,2.0,17.0,16.0
335,6.0,8.0,7.0,5.0,2.0
336,3.0,14.0,15.0,5.0,3.0
337,8.0,6.0,9.0,3.0,3.0
338,4.0,4.0,4.0,4.0,2.0
339,2.0,21.0,21.0,3.0,3.0
340,2.0,9.0,10.0,25.0,5.0
341,4.0,10.0,5.0,45.0,16.0
342,3.0,5.0,3.0,10.0,12.0
343,1.0,7.0,6.0,9.0,3.0
344,2.0,20.0,15.0,4.0,4.0
345,3.0,18.0,16.0,3.0,6.0
346,5.0,8.0,7.0,44.0,15.0
347,5.0,16.0,19.0,6.0,2.0
348,3.0,16.0,15.0,5.0,7.0
349,4.0,10.0,4.0,45.0,17.0
350,2.0,9.0,6.0,23.0,4.0
351,0.0,17.0,14.0,9.0,2.0
352,3.0,7.0,5.0,16.0,12.0
353,4.0,13.0,12.0,8.0,5.0
354,6.0,24.0,12.0,5.0,1.0
355,4.0,18.0,17.0,3.0,4.0
356,1.0,17.0,13.0,2.0,3.0
357,4.0,6.0,9.0,4.0,1.0
358,3.0,12.0,6.0,33.0,6.0
359,3.0,16.0,15.0,4.0,5.0
360,1.0,4.0,4.0,1.0,3.0
361,2.0,9.0,6.0,17.0,3.0
362,3.0,6.0,3.0,32.0,19.0
363,1.0,16.0,9.0,9.0,7.0
364,4.0,18.0,16.0,5.0,1.0
365,3.0,11.0,7.0,26.0,4.0
366,4.0,20.0,15.0,7.0,2.0
367,3.0,18.0,19.0,7.0,4.0
368,1.0,15.0,10.0,10.0,4.0
369,1.0,16.0,11.0,5.0,4.0
370,2.0,7.0,3.0,2.0,3.0
371,2.0,20.0,8.0,5.0,1.0
372,3.0,10.0,7.0,32.0,6.0
373,0.0,11.0,8.0,3.0,1.0
374,2.0,24.0,18.0,7.0,3.0
375,2.0,22.0,10.0,5.0,1.0
376,3.0,7.0,5.0,16.0,12.0
377,8.0,6.0,9.0,3.0,3.0
378,0.0,17.0,11.0,4.0,3.0
379,3.0,18.0,14.0,2.0,3.0
380,5.0,12.0,6.0,29.0,12.0
381,4.0,12.0,11.0,5.0,2.0
382,10.0,7.0,8.0,3.0,2.0
383,4.0,9.0,12.0,5.0,4.0
384,6.0,21.0,10.0,6.0,0.0
385,4.0,6.0,10.0,4.0,1.0
386,3.0,11.0,7.0,26.0,4.0
387,4.0,11.0,8.0,34.0,9.0
388,1.0,4.0,4.0,1.0,3.0
389,1.0,16.0,10.0,2.0,4.0
390,9.0,6.0,10.0,3.0,5.0
391,2.0,10.0,5.0,4.0,1.0
392,4.0,11.0,7.0,39.0,10.0
393,0.0,0.0,0.0,0.0,0.0
394,0.0,15.0,17.0,2.0,1.0
395,2.0,17.0,11.0,5.0,0.0
396,0.0,15.0,16.0,2.0,1.0
397,2.0,18.0,11.0,3.0,4.0
398,3.0,6.0,4.0,12.0,12.0
399,2.0,11.0,8.0,6.0,2.0
400,3.0,8.0,11.0,20.0,1.0
401,5.0,11.0,6.0,31.0,14.0
402,0.0,11.0,8.0,3.0,1.0
403,2.0,11.0,8.0,3.0,1.0
404,4.0,11.0,8.0,34.0,9.0
405,1.0,7.0,6.0,9.0,3.0
406,1.0,9.0,11.0,5.0,2.0
407,3.0,20.0,13.0,10.0,5.0
408,4.0,10.0,7.0,42.0,12.0
409,3.0,16.0,15.0,4.0,5.0
410,4.0,8.0,5.0,6.0,2.0
411,3.0,5.0,2.0,17.0,16.0
412,1.0,13.0,9.0,10.0,4.0
413,5.0,12.0,5.0,19.0,10.0
414,6.0,18.0,11.0,3.0,0.0
415,3.0,9.0,8.0,24.0,4.0
416,3.0,14.0,13.0,6.0,5.0
417,4.0,13.0,12.0,7.0,4.0
418,3.0,16.0,15.0,4.0,5.0
419,2.0,8.0,4.0,3.0,2.0
420,6.0,12.0,9.0,2.0,1.0
421,1.0,6.0,6.0,6.0,2.0
422,4.0,17.0,13.0,4.0,3.0
423,5.0,8.0,12.0,2.0,3.0
424,0.0,12.0,9.0,4.0,2.0
425,5.0,16.0,16.0,6.0,2.0
426,9.0,6.0,10.0,4.0,5.0
427,5.0,16.0,16.0,6.0,2.0
428,3.0,12.0,7.0,30.0,5.0
429,0.0,1.0,0.0,0.0,0.0
430,0.0,17.0,11.0,4.0,3.0
431,5.0,18.0,14.0,6.0,1.0
432,0.0,11.0,8.0,3.0,1.0
433,0.0,6.0,9.0,1.0,2.0
434,4.0,10.0,8.0,2.0,1.0
435,0.0,10.0,7.0,3.0,3.0
436,4.0,26.0,15.0,5.0,1.0
437,2.0,12.0,8.0,7.0,6.0
438,4.0,10.0,8.0,2.0,0.0
439,4.0,11.0,8.0,34.0,9.0
440,7.0,23.0,15.0,8.0,1.0
441,4.0,27.0,16.0,6.0,2.0
442,0.0,17.0,12.0,2.0,1.0
443,5.0,13.0,6.0,3.0,2.0
444,0.0,17.0,11.0,4.0,3.0
445,0.0,17.0,11.0,4.0,3.0
446,3.0,7.0,8.0,24.0,3.0
447,1.0,12.0,11.0,4.0,6.0
448,1.0,9.0,9.0,7.0,1.0
449,4.0,10.0,8.0,2.0,1.0
450,4.0,9.0,7.0,33.0,8.0
451,0.0,15.0,16.0,2.0,1.0
452,1.0,6.0,6.0,6.0,2.0
453,1.0,9.0,11.0,5.0,3.0
454,3.0,16.0,15.0,4.0,5.0
455,1.0,4.0,6.0,2.0,2.0
456,0.0,4.0,1.0,4.0,0.0
457,1.0,12.0,10.0,7.0,0.0
458,1.0,9.0,8.0,10.0,2.0
459,2.0,20.0,14.0,1.0,4.0
460,4.0,6.0,2.0,34.0,21.0
461,8.0,6.0,9.0,3.0,3.0
462,4.0,6.0,4.0,31.0,18.0
463,4.0,6.0,9.0,4.0,1.0
464,1.0,9.0,8.0,10.0,2.0
465,1.0,4.0,6.0,2.0,2.0
466,3.0,6.0,4.0,5.0,11.0
467,3.0,19.0,15.0,3.0,5.0
468,3.0,6.0,4.0,10.0,12.0
469,3.0,9.0,4.0,39.0,18.0
470,8.0,6.0,10.0,3.0,5.0
471,2.0,8.0,6.0,3.0,2.0
472,4.0,10.0,12.0,23.0,2.0
473,1.0,18.0,10.0,4.0,4.0
474,5.0,12.0,6.0,29.0,12.0
475,5.0,15.0,14.0,3.0,1.0
476,5.0,13.0,10.0,5.0,2.0
477,3.0,15.0,10.0,10.0,6.0
478,3.0,10.0,6.0,27.0,4.0
479,1.0,6.0,6.0,6.0,2.0
480,8.0,6.0,9.0,3.0,3.0
481,3.0,9.0,10.0,0.0,2.0
482,4.0,11.0,12.0,5.0,3.0
483,1.0,7.0,6.0,9.0,3.0
484,4.0,16.0,11.0,3.0,1.0
485,2.0,21.0,21.0,3.0,3.0
486,3.0,9.0,8.0,30.0,4.0
487,5.0,20.0,19.0,7.0,2.0
488,0.0,15.0,9.0,3.0,3.0
489,0.0,8.0,8.0,0.0,2.0
490,1.0,7.0,6.0,9.0,3.0
491,4.0,9.0,9.0,5.0,3.0
492,0.0,0.0,0.0,0.0,0.0
493,4.0,13.0,12.0,8.0,5.0
494,3.0,19.0,15.0,3.0,5.0
495,4.0,11.0,8.0,34.0,9.0
496,1.0,9.0,10.0,7.0,0.0
497,3.0,13.0,13.0,4.0,3.0
498,1.0,15.0,10.0,10.0,4.0
499,0.0,0.0,0.0,0.0,0.0
500,5.0,16.0,16.0,6.0,2.0
501,4.0,11.0,8.0,34.0,9.0
502,2.0,8.0,6.0,5.0,2.0
503,0.0,16.0,10.0,4.0,2.0
504,2.0,7.0,7.0,3.0,0.0
505,0.0,15.0,11.0,5.0,2.0
506,5.0,8.0,12.0,2.0,3.0
507,4.0,15.0,10.0,5.0,1.0
508,6.0,21.0,10.0,6.0,0.0
509,4.0,11.0,8.0,34.0,9.0
510,1.0,13.0,12.0,8.0,9.0
511,8.0,6.0,9.0,3.0,3.0
512,1.0,12.0,11.0,7.0,8.0
513,4.0,18.0,19.0,4.0,5.0
514,2.0,10.0,5.0,4.0,1.0
515,3.0,13.0,14.0,4.0,3.0
516,4.0,15.0,12.0,3.0,3.0
517,0.0,11.0,11.0,7.0,1.0
518,9.0,6.0,9.0,6.0,2.0
519,4.0,9.0,8.0,34.0,8.0
520,4.0,26.0,15.0,6.0,1.0
521,5.0,8.0,12.0,2.0,3.0
522,5.0,11.0,10.0,1.0,0.0
523,3.0,8.0,6.0,24.0,11.0
524,3.0,12.0,6.0,33.0,6.0
525,4.0,6.0,4.0,30.0,19.0
526,8.0,6.0,9.0,3.0,3.0
527,5.0,8.0,12.0,2.0,3.0
528,3.0,9.0,6.0,15.0,7.0
529,1.0,4.0,4.0,1.0,3.0
530,4.0,6.0,4.0,31.0,18.0
531,3.0,16.0,15.0,4.0,5.0
532,3.0,10.0,6.0,27.0,4.0
533,3.0,5.0,2.0,25.0,21.0
534,3.0,17.0,8.0,14.0,7.0
535,4.0,6.0,9.0,4.0,1.0
536,0.0,4.0,1.0,4.0,0.0
537,5.0,12.0,6.0,3.0,2.0
538,0.0,12.0,11.0,2.0,0.0
539,4.0,21.0,19.0,4.0,3.0
540,0.0,18.0,13.0,2.0,1.0
541,8.0,6.0,10.0,3.0,5.0
542,3.0,7.0,4.0,6.0,6.0
543,4.0,23.0,20.0,4.0,3.0
544,4.0,9.0,7.0,31.0,8.0
545,8.0,6.0,9.0,3.0,3.0
546,4.0,11.0,9.0,34.0,6.0
547,9.0,8.0,13.0,3.0,5.0
548,3.0,9.0,4.0,39.0,18.0
549,6.0,12.0,9.0,2.0,1.0
550,3.0,16.0,15.0,4.0,5.0
551,0.0,17.0,11.0,4.0,3.0
552,8.0,6.0,10.0,3.0,5.0
553,0.0,8.0,8.0,0.0,2.0
554,4.0,9.0,9.0,5.0,3.0
555,0.0,8.0,8.0,0.0,2.0
556,4.0,8.0,3.0,40.0,19.0
557,3.0,6.0,4.0,5.0,11.0
558,1.0,6.0,6.0,6.0,2.0
559,2.0,7.0,3.0,2.0,3.0
560,6.0,17.0,10.0,5.0,0.0
561,0.0,2.0,6.0,1.0,5.0
562,3.0,9.0,6.0,15.0,7.0
563,4.0,23.0,11.0,7.0,1.0
564,6.0,13.0,11.0,5.0,2.0
565,4.0,11.0,8.0,39.0,12.0
566,4.0,11.0,8.0,34.0,9.0
567,7.0,10.0,8.0,5.0,2.0
568,4.0,6.0,4.0,31.0,18.0
569,3.0,14.0,9.0,17.0,9.0
570,9.0,5.0,9.0,6.0,2.0
571,8.0,6.0,10.0,3.0,5.0
572,2.0,14.0,15.0,3.0,5.0
573,9.0,5.0,9.0,6.0,2.0
574,0.0,10.0,8.0,2.0,1.0
575,1.0,7.0,6.0,9.0,3.0
576,4.0,13.0,8.0,3.0,1.0
577,0.0,16.0,13.0,11.0,2.0
578,2.0,9.0,6.0,23.0,4.0
579,3.0,15.0,13.0,3.0,4.0
580,9.0,6.0,11.0,3.0,5.0
581,0.0,18.0,13.0,2.0,1.0
582,9.0,6.0,9.0,6.0,2.0
583,1.0,9.0,11.0,5.0,2.0
584,3.0,15.0,10.0,11.0,6.0
585,4.0,18.0,17.0,5.0,1.0
586,4.0,7.0,2.0,39.0,24.0
587,1.0,17.0,17.0,7.0,7.0
588,11.0,5.0,6.0,4.0,4.0
589,0.0,16.0,10.0,4.0,2.0
590,2.0,11.0,10.0,4.0,4.0
591,0.0,11.0,8.0,2.0,2.0
592,4.0,12.0,10.0,5.0,4.0
593,0.0,15.0,9.0,3.0,3.0
594,2.0,9.0,6.0,23.0,4.0
595,3.0,10.0,6.0,27.0,4.0
596,5.0,16.0,12.0,5.0,1.0
597,2.0,22.0,10.0,5.0,1.0
598,5.0,8.0,12.0,3.0,4.0
599,4.0,16.0,12.0,4.0,1.0
600,4.0,6.0,4.0,31.0,18.0
601,0.0,0.0,0.0,0.0,0.0
602,1.0,6.0,6.0,6.0,2.0
603,4.0,12.0,9.0,5.0,3.0
604,4.0,19.0,15.0,6.0,2.0
605,1.0,11.0,13.0,5.0,3.0
606,9.0,6.0,9.0,6.0,2.0
607,9.0,7.0,10.0,3.0,5.0
608,4.0,10.0,4.0,45.0,17.0
609,3.0,18.0,12.0,4.0,5.0
610,4.0,26.0,15.0,5.0,1.0
611,4.0,11.0,9.0,3.0,2.0
612,2.0,20.0,14.0,1.0,4.0
613,0.0,17.0,11.0,4.0,3.0
614,9.0,6.0,9.0,6.0,2.0
615,1.0,9.0,10.0,13.0,5.0
616,5.0,9.0,7.0,27.0,3.0
617,0.0,17.0,11.0,4.0,3.0
618,4.0,8.0,3.0,40.0,19.0
619,1.0,15.0,16.0,6.0,8.0
620,5.0,20.0,17.0,5.0,5.0
621,4.0,11.0,8.0,34.0,9.0
622,2.0,7.0,3.0,1.0,0.0
623,0.0,18.0,13.0,2.0,1.0
624,4.0,10.0,4.0,45.0,17.0
625,2.0,21.0,14.0,10.0,4.0
626,5.0,17.0,12.0,5.0,2.0
627,1.0,7.0,6.0,9.0,3.0
628,0.0,14.0,12.0,8.0,3.0
629,0.0,8.0,8.0,0.0,2.0
630,4.0,6.0,4.0,31.0,18.0
631,4.0,14.0,12.0,8.0,4.0
