listing_id,distance_to_closest_station
927172,2.1840933323533642 km
984705,0.8459993513657065 km
217842,0.8585671523778438 km
281369,0.36862383821367556 km
532222,3.012366721338094 km
457057,0.4182196324806153 km
412553,0.4552585633551962 km
876381,0.6340545463577839 km
497382,0.3073636838299941 km
503460,0.2878281727897157 km
107988,0.6836180638359625 km
839279,0.5459239149001331 km
572962,0.5738291875604389 km
975379,0.46841257331642566 km
177378,1.0606698872494478 km
391480,0.3236008293043683 km
371877,0.674023320925867 km
855355,0.27302762662285196 km
409887,2.737376243019738 km
555920,1.2945085844801834 km
306752,0.14006135628986122 km
138371,2.689461687164013 km
625196,0.5459239149001331 km
162168,0.11761898104189976 km
151997,0.7294629908316825 km
800546,0.5398118859053944 km
993340,1.0412352804522134 km
720182,0.2203409078005343 km
410119,1.1087531959188517 km
158998,0.42213069189861074 km
593148,1.9805014512387946 km
426699,2.856093159102872 km
187629,1.1950053844747022 km
451240,1.0754700814275644 km
934140,0.11054546816280664 km
437110,0.5497432517332088 km
335892,0.12304443682537752 km
916066,0.7238853301692189 km
134408,1.4656849030579122 km
713476,0.964052185421829 km
935256,0.9554238926697868 km
281875,0.2689936326408502 km
489795,0.26095578485084275 km
690166,0.9354159473160131 km
232299,0.23743465550689438 km
365585,0.4542160885578412 km
729999,0.27008653391145593 km
300084,0.5408140689589099 km
481106,0.20811853107576206 km
947332,0.13895388054708685 km
938700,0.793640843026821 km
583847,0.748420740118952 km
725504,0.3073636838299941 km
917559,0.5842761427293361 km
554664,1.156926466311573 km
882519,0.996483737987865 km
594369,0.6402948030258687 km
879265,0.6506060979718524 km
851350,0.5515489384672246 km
988059,0.2616725943696553 km
546590,0.22466357533704032 km
131405,0.4337806489420962 km
617385,0.38113120937341605 km
262034,0.2694464100863729 km
483130,0.9251068436489689 km
581808,0.5573112967580113 km
486079,0.6287743396021709 km
178146,0.5849611188346007 km
252616,0.8287237220493657 km
550204,0.5991613064789204 km
824753,0.4467808234585281 km
564124,1.472467859816928 km
430271,0.3548022182799783 km
383742,1.2945085844801834 km
664945,0.11903930642246727 km
590936,1.3567157692992866 km
755764,0.3073636838299941 km
633226,0.7238853301692189 km
706373,0.40157611754775385 km
192699,0.345726207768005 km
986118,0.3236008293043683 km
928141,0.8500120969829245 km
931334,0.28044371320688244 km
362515,0.637836935894322 km
321215,1.7415144232003283 km
757745,0.3444229833109893 km
194614,0.5573112967580113 km
479260,0.7294629908316825 km
483663,0.22466357533704032 km
617754,0.39922464578715827 km
533184,0.6930737619497455 km
673684,1.3304479014905077 km
759438,0.5906446606772802 km
359613,2.856093159102872 km
831952,0.8156527287313916 km
253662,1.9784851406329838 km
512650,1.253713752970859 km
975987,1.2560037990444817 km
670250,0.08685945404776581 km
973365,0.3828378375908014 km
509210,0.21628050881533617 km
873261,0.40060816971559593 km
931628,1.2945085844801834 km
579594,0.6582504412820122 km
235612,0.7294629908316825 km
590020,0.9354159473160131 km
301390,0.36862190204808243 km
106486,0.8438124360464523 km
657362,0.3463927459974117 km
319857,0.2616725943696553 km
392203,0.559117558526733 km
982912,0.11054546816280664 km
416807,1.0092039114545892 km
927196,0.09725484627372023 km
214494,2.275509969626597 km
635145,0.7597008366027064 km
287578,0.3853843956766188 km
245781,0.9492700656239291 km
259610,0.2616725943696553 km
677679,0.5177284540430483 km
828611,1.4918413508200052 km
540816,1.3612754611200266 km
430537,1.384429480063624 km
409534,0.9771979653557551 km
494617,0.18806849073659346 km
897771,0.5424925069557541 km
894392,0.7360734281253483 km
954531,0.5424925069557541 km
597966,0.5253025170698644 km
318385,2.7693373069343403 km
631664,0.40157611754775385 km
748877,0.9891445495817017 km
642728,1.2945085844801834 km
974062,1.0828309684762332 km
336778,1.4645835301055572 km
394372,1.0963092089019761 km
165771,0.6166396945823139 km
660319,0.24452884692382373 km
235623,1.6963347387258823 km
716540,0.7294629908316825 km
568205,1.4345886310383247 km
620516,0.8343957652129348 km
459538,1.2134900708629086 km
831942,0.5828142503147093 km
466572,0.40157611754775385 km
980950,0.40157611754775385 km
167884,0.8105685640999296 km
468453,0.4597485990868918 km
750055,1.4482654220574638 km
654274,1.2481379167309066 km
850193,0.5741581249380395 km
517282,1.253713752970859 km
646474,1.3612754611200266 km
866622,0.07604527626278652 km
281337,0.2616725943696553 km
554346,0.4182196324806153 km
517257,1.6550651702765224 km
203993,1.6242814190767445 km
738019,0.969396354856356 km
780022,0.131100700147655 km
494583,0.2424331549249754 km
741212,0.7238853301692189 km
765295,0.27950078133522177 km
297725,0.6506060979718524 km
162540,0.969396354856356 km
401013,0.4182196324806153 km
278208,0.370021699633321 km
663178,0.11730057582915254 km
324492,0.21723760001590306 km
649810,0.14006135628986122 km
234681,0.7422298115143062 km
552468,0.37913844910001404 km
871328,0.3938943317558044 km
923953,0.6976735004440894 km
204569,0.3236008293043683 km
686949,0.2004357266659326 km
685458,0.3980300742111316 km
925603,0.44565940977326024 km
764385,0.42213069189861074 km
578163,1.3612754611200266 km
943278,0.7238853301692189 km
334102,0.5926995852676533 km
511371,0.4718342449694789 km
484203,0.9354159473160131 km
869371,0.41229442336741157 km
336766,0.964052185421829 km
240866,0.3299329169256995 km
967097,0.7507234977709579 km
858410,0.863425368532893 km
461697,0.1500074147987568 km
327730,0.9354159473160131 km
798965,0.6358118208375146 km
739580,2.856093159102872 km
336954,0.5666574730359644 km
405235,0.11730057582915254 km
124596,0.7294629908316825 km
767158,1.5580943235844675 km
477685,0.4312087686720097 km
877379,0.8287237220493657 km
832258,2370.557627125421 km
316189,0.5424925069557541 km
127831,0.7294629908316825 km
309743,0.674465087300784 km
368025,0.27302762662285196 km
160713,1.772698361940218 km
816832,0.366010037935519 km
129510,0.9771979653557551 km
637057,0.7599262036940184 km
909519,1.7415144232003283 km
165790,0.7294629908316825 km
672584,0.4536669838129992 km
472394,0.7238853301692189 km
527581,0.3109708694451854 km
370115,0.21045504066237533 km
900686,1.3304479014905077 km
267934,1.2695745075116045 km
929547,0.4552585633551962 km
256413,0.3851516560560121 km
554351,0.9040641497394813 km
423978,0.5281470493437371 km
978468,0.715746142204745 km
553011,0.9771979653557551 km
920124,1.6070918420702927 km
906926,0.6587041588704169 km
426091,0.5515489384672246 km
873700,0.1612636767842372 km
168683,0.7238853301692189 km
516296,0.9771979653557551 km
692488,0.6569235719289843 km
877218,0.22466357533704032 km
116732,0.27950078133522177 km
371715,0.2616725943696553 km
190242,0.42213069189861074 km
398006,0.03348523909813679 km
467254,0.34726571276919904 km
161919,0.6506060979718524 km
443239,1.6550651702765224 km
277529,0.3343957423498797 km
733268,2.0675940030389923 km
580712,0.5094692383088597 km
905904,1.1234925249814804 km
210822,0.7422298115143062 km
211541,0.5429493450799642 km
710529,0.586126966863649 km
530250,0.6389408679276324 km
397110,0.7238853301692189 km
445131,0.5387894950757336 km
888740,0.6500053842376136 km
772315,0.14006135628986122 km
558649,1.4918413508200052 km
411314,0.2616725943696553 km
873258,0.40157611754775385 km
233436,0.7422298115143062 km
680417,0.1500074147987568 km
395189,0.59055656084905 km
309419,0.1500074147987568 km
443004,0.29160247650059123 km
730973,0.370021699633321 km
405730,1.3612754611200266 km
413392,0.4467808234585281 km
947939,2.286669503467111 km
198325,0.5179826508101387 km
154699,0.6569235719289843 km
627958,1.0412352804522134 km
707495,0.8909270765908421 km
509929,0.6143909111548257 km
622214,0.7294629908316825 km
618238,0.5951563454371992 km
491962,0.27950078133522177 km
147660,0.7250484093822495 km
835888,0.8256147261616609 km
248588,0.7422298115143062 km
441999,0.42884199227577974 km
679640,0.8256147261616609 km
393768,1.0679337505572222 km
124529,0.9354159473160131 km
353974,1.149388087048307 km
643172,0.5304160717886143 km
200609,0.793640843026821 km
191806,0.5835241475166261 km
634420,0.6340545463577839 km
748772,1.1234925249814804 km
197367,0.9040641497394813 km
998163,0.46209388161135534 km
530640,0.18488163819441095 km
506503,0.9392893984090811 km
965337,0.2513503749966011 km
615943,1.1676209957572175 km
459813,1.0980808540674054 km
234777,0.5983239312440177 km
689119,1.0064238630275661 km
344689,0.6857652574209343 km
246057,1.0640596706880754 km
513493,0.863425368532893 km
459815,0.793640843026821 km
237551,0.42213069189861074 km
884434,0.6254719963382664 km
693623,1.3005477352431747 km
526290,1.2628625265273656 km
717978,0.3588038362775357 km
611209,0.27950078133522177 km
150194,2370.557627125421 km
256914,1.3612754611200266 km
180893,0.268934158842795 km
370302,0.9475295636728679 km
613034,0.31686889744141006 km
726668,0.9040641497394813 km
453567,0.6600412605127806 km
250806,0.13895388054708685 km
619802,0.5381907905500135 km
993362,0.6166396945823139 km
947008,0.5150843565385489 km
708786,0.131100700147655 km
367146,0.40157611754775385 km
588424,0.9040641497394813 km
200524,0.41523907187897724 km
118035,0.8112648094202026 km
868665,0.40157611754775385 km
662935,0.29160247650059123 km
169333,0.14990730849168465 km
380265,0.9720756218018826 km
454701,0.7294629908316825 km
874802,1.9577266766229646 km
393307,1.1234925249814804 km
664817,0.13895388054708685 km
208407,0.6524376501607853 km
988223,0.979225900678647 km
448509,0.9354159473160131 km
272972,0.4650274015418864 km
663260,0.1500074147987568 km
900532,0.27950078133522177 km
219264,0.7167533323211522 km
728293,0.7897820068386636 km
529603,1.9689773266653188 km
385394,1.2945085844801834 km
432676,0.8654140486161381 km
593910,0.9438862023500375 km
481040,0.7095804861840618 km
500132,1.7380604759295024 km
670707,1.0988740811042437 km
565660,0.6253777380106147 km
210899,2.7693373069343403 km
139150,0.9274101650823191 km
154557,0.22466357533704032 km
862511,0.7238853301692189 km
235632,0.2616725943696553 km
873172,2370.557627125421 km
408549,0.8248480175853944 km
914250,0.8105685640999296 km
852292,0.24500199972615272 km
964904,0.42213069189861074 km
972535,0.2616725943696553 km
254962,0.3459798192088288 km
615638,0.4916153345643586 km
471448,0.29160247650059123 km
179800,2.286669503467111 km
540441,1.6005286496402595 km
779028,0.42213069189861074 km
878985,1.4857846432086037 km
226931,2370.557627125421 km
383464,0.370021699633321 km
873601,0.14006135628986122 km
705846,0.20882792494028765 km
122873,0.27950078133522177 km
104637,0.24456438336199046 km
199800,0.5458442808271752 km
656961,1.899466465325198 km
864704,0.6989562041454213 km
156571,0.4552585633551962 km
236480,0.17264649004426072 km
649135,1.3612754611200266 km
112748,0.7925974713284755 km
960477,0.6569235719289843 km
254686,0.9354159473160131 km
541690,0.4182196324806153 km
638528,0.4552585633551962 km
613970,0.3588038362775357 km
835352,0.1869909178564273 km
847921,0.29160247650059123 km
350221,3.322068659456776 km
358991,2.286669503467111 km
802486,0.3073636838299941 km
778821,0.9006417652799763 km
543011,0.4552585633551962 km
919203,0.371311824820122 km
742055,2.7693373069343403 km
481759,0.370021699633321 km
779828,1.1234925249814804 km
135282,2.856093159102872 km
313286,0.6569235719289843 km
926048,0.6506060979718524 km
298828,2.856093159102872 km
677061,0.8643980361418662 km
429220,0.991680754023988 km
354044,0.23046945140190803 km
893722,1.2945085844801834 km
457273,0.4445777407899646 km
679238,0.793640843026821 km
944714,0.964052185421829 km
413448,0.36862383821367556 km
237059,0.24077557601085436 km
788632,1.0248456461771316 km
880010,0.6505754967928604 km
582371,0.5573112967580113 km
497847,0.27950078133522177 km
490377,1.253713752970859 km
595908,0.4337806489420962 km
260764,0.27950078133522177 km
462129,0.4931091649679347 km
175426,0.7422298115143062 km
899355,1.1352464025572653 km
781907,0.7238853301692189 km
701029,0.9856673018183046 km
245552,1.2780516573121228 km
697140,1.9665246258388243 km
900228,0.05975234080939502 km
165226,1.1911654987291478 km
855122,0.3073636838299941 km
252779,0.15182281251994956 km
177240,0.4552585633551962 km
722716,1.692136010435536 km
998553,0.42691429325213515 km
575590,0.9492700656239291 km
250768,0.3800826384737316 km
904247,0.3109708694451854 km
241085,1.008640713009101 km
195701,0.6277905169099488 km
445019,0.6073027371467703 km
417454,1.6814424386827342 km
166909,0.3172794536459035 km
988229,0.3254397563179916 km
374866,1.0525860877001658 km
338667,0.9791695628135847 km
951044,1.3306122447861226 km
616041,3.322068659456776 km
475033,0.6537091878179616 km
311331,1.0092039114545892 km
134792,0.45166852055739204 km
721441,0.6236024713721644 km
746603,0.69938991795402 km
712160,2.0536231920490144 km
669327,0.5215161973041235 km
295673,0.48583701591984574 km
527438,0.7422298115143062 km
277750,0.08685945404776581 km
228343,1.2095807576060216 km
394795,0.6178064830727875 km
303150,1.6370903598657387 km
640754,0.44263121763298907 km
305154,1.5941885726637344 km
661356,0.6419398711375364 km
355054,0.6587041588704169 km
760813,1.1886729725984573 km
248899,1.4397920913712563 km
273106,0.1235213556189822 km
785137,0.579376786957462 km
443429,1.872542660693869 km
550561,0.49517718059817883 km
531916,0.8438124360464523 km
132018,1.4104227628568076 km
581337,0.48122402014340254 km
163719,0.3073636838299941 km
104390,2.2474101022119393 km
593136,1.978145754403292 km
480389,0.8205036829556221 km
997882,1.0028355966848657 km
916768,1.5967527427246115 km
736637,0.21723760001590306 km
646763,1.0929197367472336 km
429147,0.3956274840339583 km
255197,1.5242985066326926 km
838364,1.3913854418265565 km
345701,0.9354159473160131 km
507344,1.2291810635388465 km
402254,0.5730458712668569 km
355340,0.4929715955561046 km
646145,0.20621167297027534 km
332394,0.4805880123862 km
879348,0.5021971599829708 km
317638,1.0596144714747007 km
784789,1.9577266766229646 km
797222,0.8105685640999296 km
128221,0.46709787705721045 km
578230,1.5736398033698935 km
834647,0.5469182032906768 km
326972,0.33302676320070473 km
494627,1.204437180723984 km
604059,0.6989562041454213 km
216104,1.489937999228665 km
910817,0.5338820284321053 km
213949,0.2878281727897157 km
616583,0.9243859060101711 km
822896,0.2948052214764922 km
940894,0.1500074147987568 km
865700,0.4030988968297876 km
736623,0.7951412148550352 km
817519,0.7122201295431865 km
627217,0.5582451843913305 km
256152,0.48122402014340254 km
799089,0.6877071417505977 km
886927,0.3938943317558044 km
420569,0.8153430987316638 km
981353,1.1221774383813592 km
245920,0.7422298115143062 km
350033,0.6526463551546852 km
796441,1.4482654220574638 km
763450,0.5791449105002491 km
215881,2.1453949326555453 km
304164,0.40157611754775385 km
210473,1.0380232433196226 km
216909,0.3271190958468064 km
702234,0.5590747108404972 km
649396,0.3236008293043683 km
719880,0.48122402014340254 km
787377,0.5038926041066122 km
348856,1.8270278362241594 km
355236,0.3148969166749184 km
626256,0.29160247650059123 km
124508,1.9577266766229646 km
195469,0.14006135628986122 km
967918,0.5573112967580113 km
519007,0.4234767556000304 km
799088,0.8154189388251519 km
543785,0.38712140942475415 km
505968,2.0536231920490144 km
889408,2.203815991889901 km
624596,0.44263121763298907 km
409898,0.5116577065758585 km
993569,1.239195091597867 km
355689,0.5369476580454945 km
509010,2.689461687164013 km
957960,0.370021699633321 km
297697,0.3548022182799783 km
266239,0.7294629908316825 km
585108,0.37720918302163986 km
188752,0.6569235719289843 km
685110,0.347017541235869 km
492655,1.489937999228665 km
271214,1.3612754611200266 km
674422,1.5774171656769949 km
285056,0.7238853301692189 km
406960,1.7380604759295024 km
389210,0.9119697591988495 km
807652,0.38915098923334596 km
647383,1.033215310346748 km
312227,0.374232659112074 km
211883,0.5649044303961347 km
938382,0.8548832105773491 km
761732,1.5366904030227624 km
577259,2.000802344647434 km
604881,0.8253264590085365 km
565677,0.9492700656239291 km
165073,1.3152564309450319 km
308827,0.7925974713284755 km
316109,0.09779446167343152 km
951209,0.6958629187760018 km
514293,0.9040641497394813 km
999463,2.856093159102872 km
703936,0.40060816971559593 km
234802,0.3991644733567766 km
537197,0.46209388161135534 km
879957,0.4337806489420962 km
904633,0.6506060979718524 km
706957,0.4356813320188177 km
936663,0.7741385396195567 km
590886,1.8995517647964473 km
904757,0.3408282386527044 km
927613,0.737364791591159 km
871934,0.11903930642246727 km
554358,0.43173842242600047 km
288222,0.30309058529472116 km
554796,1.253329584637237 km
381554,0.4116543568903019 km
615219,1.1151108120842164 km
526862,0.8407453066880054 km
737529,1.3304479014905077 km
466219,0.40060816971559593 km
102526,1.458934148964388 km
631815,1.1003224634229665 km
719307,0.9040641497394813 km
860722,0.9492700656239291 km
632304,0.8907853912195108 km
777002,0.6506060979718524 km
263692,1.3152564309450319 km
320202,0.6982780100461562 km
454107,0.3800054829833221 km
481647,0.21252058048934808 km
687244,0.13895388054708685 km
754487,0.5573112967580113 km
859179,0.6569235719289843 km
957116,0.8198079626588775 km
197332,1.2945085844801834 km
666525,0.30735002677924994 km
228731,1.623846618008115 km
479696,0.11761898104189976 km
308559,0.8505692617322012 km
837681,0.4545258253776267 km
158616,2.689461687164013 km
123186,0.29160247650059123 km
158027,1.3612754611200266 km
214529,0.8585671523778438 km
178153,1.3612754611200266 km
769945,0.4337806489420962 km
753527,0.24123595154617034 km
601147,0.36771229665738137 km
400110,0.29160247650059123 km
536081,0.5424925069557541 km
430221,0.11761898104189976 km
229721,0.3548022182799783 km
574955,0.5590856875799035 km
567590,0.8701061103421246 km
434964,0.7294629908316825 km
619258,0.8093729173108425 km
985091,0.7422298115143062 km
539500,0.94414481714621 km
479176,0.9354159473160131 km
385291,0.6836180638359625 km
517616,0.5344286826487582 km
189987,0.4900856252892898 km
213265,3.322068659456776 km
217473,1.0828309684762332 km
670483,1.5344385654053216 km
561425,0.23961529234625054 km
557854,0.34861765572954456 km
152807,0.8223561856096575 km
189279,0.4552611255769127 km
793952,0.40060816971559593 km
440514,0.523875562313035 km
437794,0.15182281251994956 km
569616,1.0658635366009088 km
235254,0.1623811612078889 km
927620,1.0890187963945501 km
369552,0.3035766995772331 km
653000,3.352696330463496 km
666308,1.0092039114545892 km
539036,0.1481455970030427 km
837946,0.5116577065758585 km
713308,0.7238853301692189 km
506800,1.6586108052988198 km
747177,0.5398118859053944 km
995676,0.4973987519778309 km
318229,1.0811444114623903 km
888754,1.156926466311573 km
633994,0.6930737619497455 km
221225,1.0887871378412497 km
743936,0.9062437665404377 km
319209,0.4302968695447821 km
310290,0.11761898104189976 km
178988,2.597313707618656 km
190331,0.3947065653353579 km
837376,0.41688558381315516 km
685786,0.8022552928037912 km
893698,1.4482654220574638 km
615497,0.6857652574209343 km
185723,0.7050592999897836 km
409401,0.131100700147655 km
687382,0.7422298115143062 km
650263,0.2616725943696553 km
323476,0.9714400376797444 km
268437,0.40157611754775385 km
489344,0.964052185421829 km
916606,1.4918413508200052 km
312755,0.7448744006641076 km
899096,0.46209388161135534 km
448267,1.204437180723984 km
442582,0.19646109514097787 km
295109,0.14006135628986122 km
183227,0.49977203502100465 km
327244,1.2841580389423881 km
177017,0.41097208585098133 km
873871,0.5123483972719245 km
304311,0.7238853301692189 km
902639,0.6092961846374494 km
827263,1.8550723369792357 km
295050,0.4929715955561046 km
473806,0.4032301472987389 km
275042,0.6687732171773071 km
497093,0.30309058529472116 km
509280,0.45206556929799047 km
118163,1.558241668362456 km
471625,0.29160247650059123 km
658070,0.42213069189861074 km
575906,0.793640843026821 km
468056,0.4552585633551962 km
597647,0.8463211003984512 km
651897,0.964052185421829 km
438306,1.4549613327604494 km
430204,0.6569235719289843 km
913616,1.0412352804522134 km
340768,1.1886729725984573 km
632795,0.43828631846804805 km
268818,0.1500074147987568 km
378912,0.8287237220493657 km
917913,0.370021699633321 km
572193,0.7422298115143062 km
338276,0.964052185421829 km
889663,2370.557627125421 km
123522,0.6261791044767446 km
504839,0.46209388161135534 km
688478,0.4552611255769127 km
828712,0.2616725943696553 km
531519,0.48876182696711673 km
681966,0.8548832105773491 km
159263,0.7294629908316825 km
235398,0.33302676320070473 km
653557,0.47355293393897485 km
749836,0.33302676320070473 km
